emp_no,title,salary
10001,Senior Engineer,60117
10004,Senior Engineer,40054
10005,Senior Staff,78228
10006,Senior Engineer,40000
10009,Senior Engineer,60929
10018,Senior Engineer,55881
10019,Staff,44276
10020,Engineer,40000
10022,Engineer,40000
10023,Engineer,47883
10026,Senior Engineer,47585
10035,Senior Engineer,41538
10047,Senior Engineer,54982
10051,Senior Engineer,48817
10053,Senior Staff,67854
10057,Senior Engineer,49616
10058,Senior Staff,52787
10059,Senior Staff,71218
10063,Senior Engineer,40000
10066,Senior Engineer,69736
10067,Senior Engineer,44642
10070,Technique Leader,55999
10072,Senior Engineer,40000
10074,Technique Leader,61714
10076,Senior Engineer,47319
10088,Senior Staff,65957
10091,Senior Engineer,40000
10096,Engineer,61395
10097,Senior Staff,44886
10100,Senior Staff,54398
10103,Engineer,68158
10106,Senior Engineer,62928
10126,Senior Staff,40000
10127,Senior Engineer,40000
10129,Technique Leader,40000
10130,Senior Engineer,40000
10134,Senior Engineer,40000
10138,Senior Engineer,53574
10150,Senior Engineer,70122
10153,Assistant Engineer,54246
10157,Senior Engineer,48770
10159,Senior Engineer,52881
10160,Senior Staff,91622
10163,Senior Staff,41603
10166,Engineer,51586
10183,Staff,40000
10194,Senior Staff,64941
10196,Staff,86671
10198,Senior Engineer,44076
10203,Senior Staff,40000
10205,Senior Engineer,40000
10207,Senior Engineer,52783
10215,Senior Staff,43944
10219,Senior Staff,40000
10224,Senior Engineer,40000
10228,Senior Staff,79474
10230,Senior Staff,47531
10233,Senior Staff,40000
10239,Staff,65146
10240,Engineer,73874
10248,Senior Staff,58918
10249,Senior Engineer,72192
10258,Senior Engineer,66280
10262,Staff,63005
10272,Staff,58070
10281,Senior Engineer,46123
10282,Engineer,40000
10283,Senior Engineer,40000
10284,Engineer,40000
10295,Senior Staff,46398
10298,Staff,40000
10306,Staff,44229
10307,Engineer,40000
10322,Senior Engineer,41968
10325,Senior Staff,44325
10326,Staff,40000
10328,Engineer,46286
10333,Senior Engineer,45141
10340,Senior Staff,68132
10343,Senior Engineer,40000
10347,Staff,42199
10349,Senior Staff,47518
10353,Senior Staff,62656
10355,Staff,70434
10356,Senior Staff,45376
10358,Technique Leader,63243
10364,Senior Engineer,51401
10367,Senior Staff,63565
10372,Technique Leader,54505
10377,Senior Engineer,40000
10387,Senior Staff,61374
10388,Staff,62545
10389,Technique Leader,55548
10396,Senior Engineer,40393
10397,Technique Leader,40529
10402,Technique Leader,40000
10404,Senior Engineer,51647
10407,Senior Staff,62565
10413,Senior Staff,45416
10418,Staff,52224
10422,Engineer,45725
10426,Technique Leader,65757
10429,Senior Engineer,40000
10432,Senior Staff,40000
10433,Engineer,40000
10451,Senior Engineer,46275
10453,Senior Staff,40000
10463,Staff,66480
10477,Senior Engineer,55138
10486,Senior Engineer,71692
10494,Senior Engineer,50094
10497,Senior Engineer,63707
10499,Senior Staff,40000
10503,Engineer,40000
10504,Staff,43931
10509,Senior Staff,49292
10512,Senior Staff,40000
10517,Senior Staff,65330
10522,Senior Staff,40000
10529,Assistant Engineer,47840
10531,Staff,49168
10542,Senior Engineer,40000
10548,Senior Staff,90631
10552,Senior Engineer,80483
10564,Senior Engineer,46660
10568,Staff,64356
10586,Senior Engineer,47541
10593,Senior Engineer,71435
10596,Senior Staff,58689
10603,Staff,101271
10610,Engineer,49812
10614,Senior Engineer,40000
10615,Senior Staff,43533
10623,Senior Engineer,60268
10624,Technique Leader,40000
10628,Senior Engineer,41650
10630,Engineer,40000
10631,Engineer,40000
10634,Senior Engineer,45179
10636,Staff,40904
10639,Senior Engineer,46291
10641,Engineer,41785
10642,Engineer,40000
10653,Senior Engineer,40000
10667,Senior Staff,40000
10671,Senior Staff,74037
10676,Engineer,58226
10683,Senior Engineer,40000
10693,Senior Staff,40000
10696,Technique Leader,68913
10702,Senior Engineer,46581
10712,Senior Engineer,40000
10718,Senior Engineer,75473
10726,Senior Engineer,46315
10734,Engineer,47377
10741,Senior Staff,50265
10742,Technique Leader,67405
10745,Senior Engineer,40000
10749,Senior Engineer,60829
10750,Technique Leader,40000
10764,Senior Engineer,70720
10767,Staff,40651
10768,Senior Engineer,65717
10778,Senior Staff,64996
10791,Senior Engineer,40000
10795,Senior Staff,84206
10808,Senior Engineer,40000
10811,Engineer,40000
10813,Senior Staff,53246
10814,Senior Staff,59378
10826,Senior Engineer,59506
10827,Staff,58322
10830,Senior Staff,47420
10831,Technique Leader,82330
10833,Technique Leader,40000
10834,Engineer,53869
10835,Engineer,40000
10836,Senior Staff,65502
10844,Engineer,40000
10846,Senior Engineer,40000
10847,Senior Staff,40000
10848,Senior Engineer,50475
10849,Engineer,66065
10854,Engineer,40000
10858,Senior Engineer,47847
10871,Staff,40000
10872,Senior Staff,40000
10873,Staff,65835
10878,Staff,72102
10879,Senior Engineer,65651
10882,Engineer,40000
10883,Engineer,40000
10885,Senior Staff,78613
10887,Senior Engineer,69570
10900,Senior Engineer,50054
10906,Staff,66204
10909,Senior Engineer,80935
10913,Staff,62428
10920,Senior Staff,40000
10921,Senior Engineer,72601
10924,Senior Staff,84783
10926,Senior Engineer,43219
10927,Senior Staff,51819
10930,Senior Engineer,53785
10932,Senior Engineer,40000
10936,Senior Staff,40000
10942,Engineer,40000
10943,Senior Engineer,45890
10944,Senior Engineer,42872
10947,Senior Staff,43068
10949,Senior Staff,58253
10956,Engineer,40000
10965,Senior Staff,61654
10969,Senior Engineer,40000
10974,Senior Engineer,56005
10986,Technique Leader,43900
10987,Engineer,46108
10988,Senior Engineer,54174
10989,Senior Staff,46406
10990,Technique Leader,40000
10996,Senior Staff,43564
11004,Senior Engineer,40226
11009,Senior Staff,75111
11012,Staff,72092
11019,Senior Engineer,69387
11021,Staff,62670
11027,Senior Engineer,40000
11031,Senior Staff,71654
11032,Staff,40000
11037,Senior Engineer,40000
11038,Senior Staff,44993
11042,Senior Engineer,40000
11048,Senior Staff,65697
11050,Senior Staff,52251
11051,Senior Engineer,40000
11056,Staff,79354
11061,Senior Staff,81257
11064,Senior Engineer,48411
11066,Senior Staff,53496
11070,Senior Engineer,40000
11071,Senior Engineer,40000
11075,Senior Engineer,76877
11079,Senior Engineer,46239
11081,Senior Staff,65686
11083,Senior Staff,90972
11084,Senior Engineer,52121
11085,Senior Engineer,66437
11087,Senior Engineer,78081
11089,Senior Staff,41004
11091,Engineer,76253
11092,Staff,78588
11098,Engineer,40000
11100,Senior Staff,40000
11106,Senior Engineer,71446
11111,Assistant Engineer,49777
11112,Staff,40000
11113,Senior Staff,66401
11121,Senior Engineer,40000
11130,Senior Staff,43172
11132,Senior Engineer,40000
11133,Technique Leader,40000
11134,Senior Engineer,58731
11137,Engineer,40000
11139,Senior Staff,63596
11143,Engineer,63264
11144,Senior Staff,56144
11146,Senior Staff,96019
11147,Engineer,40000
11148,Senior Staff,56344
11158,Senior Engineer,40000
11162,Senior Engineer,69873
11168,Senior Staff,72944
11170,Senior Engineer,44531
11174,Engineer,45806
11177,Senior Engineer,40000
11180,Senior Engineer,40000
11181,Engineer,40000
11185,Senior Staff,40000
11186,Senior Engineer,40000
11189,Senior Staff,71798
11192,Engineer,40000
11197,Senior Staff,88741
11201,Staff,49454
11204,Technique Leader,40000
11207,Engineer,49728
11208,Technique Leader,83660
11211,Senior Engineer,72668
11213,Technique Leader,40000
11217,Senior Engineer,40000
11229,Senior Engineer,48214
11232,Senior Staff,43863
11233,Senior Engineer,46070
11240,Engineer,61739
11243,Assistant Engineer,47598
11249,Engineer,43324
11251,Senior Staff,69432
11253,Senior Engineer,40000
11254,Staff,50562
11258,Senior Staff,40000
11266,Senior Engineer,40000
11267,Senior Engineer,65990
11268,Senior Engineer,40000
11274,Staff,40000
11275,Senior Engineer,58382
11289,Senior Engineer,40000
11290,Engineer,65034
